2025-12-21 22:00:43.155 | INFO | __main__:199 | Booting polymarket 15m live crypto price collector
2025-12-21 22:27:58.539 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.539316+00:00', '1766330878456', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', '0.47', '18', '0.48', '100']
2025-12-21 22:27:58.541 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.541852+00:00', '1766330878456', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', '0.52', '100', '0.53', '18']
2025-12-21 22:27:58.567 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.567596+00:00', '1766330878487', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', None, None, None, None]
2025-12-21 22:27:58.658 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.658311+00:00', '1766330878574', 'xrp-updown-15m', '19987762977128151022044723814913573856285405238401109525652745684235306835713', 'Up', '0.46', '121', '0.48', '100']
2025-12-21 22:27:58.659 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.659263+00:00', '1766330878574', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', '0.52', '100', '0.54', '121']
2025-12-21 22:27:58.680 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.680650+00:00', '1766330878601', 'xrp-updown-15m', '97813047013358322346605281998844630441391085422629719724508492972455077638327', 'Down', None, None, None, None]
2025-12-21 22:27:58.798 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.798667+00:00', '1766330878719', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4681.5', '0.03', '22.48']
2025-12-21 22:27:58.799 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.799782+00:00', '1766330878719', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', '0.97', '22.48', '0.99', '4681.5']
2025-12-21 22:27:58.827 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:58.827114+00:00', '1766330878747', 'btc-updown-15m', '78066970377091108120492525466008004492295509667849848731109371218946684531625', 'Down', None, None, None, None]
2025-12-21 22:27:59.117 | INFO | __main__:153 | ROW info: ['2025-12-21T15:27:59.117863+00:00', '1766330879003', 'btc-updown-15m', '52731997813225221550331315187179292518989422485766643182912091401151611030908', 'Up', '0.01', '4676.5', '0.03', '22.48']
